up_votes,label,years
186,israel,2009
186,un,2009
3,US,2009
3,china,2009
232,israel,2009
0,india,2009
3,israel,2009
63,israel,2009
4,israel,2009
41,israel,2009
86,israel,2009
1,un,2009
4,israel,2009
0,ukraine,2009
13,US,2009
13,uk,2009
14,israel,2009
17,uk,2009
1,israel,2009
2,israel,2009
43,israel,2009
0,israel,2009
5,israel,2009
66,israel,2009
2,israel,2009
174,US,2009
408,israel,2009
0,israel,2009
0,india,2009
3,israel,2009
0,US,2009
0,israel,2009
0,un,2009
0,US,2009
1,US,2009
0,japan,2009
0,US,2009
0,US,2009
10,un,2009
0,egypt,2009
81,china,2009
20,israel,2009
5,china,2009
1,uk,2009
0,US,2009
0,israel,2009
242,israel,2009
3,israel,2009
0,israel,2009
0,israel,2009
21,china,2009
5,israel,2009
0,israel,2009
28,US,2009
0,israel,2009
158,israel,2009
0,china,2009
165,un,2009
4,china,2009
281,israel,2009
281,un,2009
2,uk,2009
0,israel,2009
0,israel,2009
0,uk,2009
0,china,2009
1,uk,2009
318,israel,2009
0,israel,2009
1,israel,2009
1,israel,2009
49,israel,2009
60,israel,2009
5,US,2009
2,US,2009
0,israel,2009
3,israel,2009
12,iraq,2009
6,un,2009
2,india,2009
7,china,2009
1,US,2009
56,un,2009
42,un,2009
16,china,2009
0,china,2009
4,israel,2009
1,china,2009
2,uk,2009
4,israel,2009
97,uk,2009
0,china,2009
5,china,2009
2,uk,2009
1,US,2009
2,china,2009
6,china,2009
0,un,2009
3,israel,2009
4,china,2009
0,china,2009
0,uk,2009
0,US,2009
0,china,2009
4,iraq,2009
0,US,2009
0,israel,2009
8,china,2009
4,US,2009
0,china,2009
34,israel,2009
3,israel,2009
5,japan,2009
0,uk,2009
0,uk,2009
0,israel,2009
42,israel,2009
6,israel,2009
21,uk,2009
104,US,2009
3,uk,2009
2,US,2009
0,US,2009
57,US,2009
3,US,2009
25,un,2009
4,china,2009
4,israel,2009
1,US,2009
6,israel,2009
66,israel,2009
0,US,2009
2,iraq,2009
0,uk,2009
12,india,2009
12,india,2009
80,US,2009
0,iraq,2009
45,US,2009
72,US,2009
37,israel,2009
17,israel,2009
1,israel,2009
4,un,2009
23,US,2009
2,US,2009
0,US,2009
29,israel,2009
0,uk,2009
0,israel,2009
12,US,2009
0,uk,2009
0,US,2009
0,israel,2009
10,china,2009
3,india,2009
2,india,2009
240,israel,2009
921,israel,2009
3,US,2009
3,iraq,2009
2,US,2009
9,uk,2009
2,japan,2009
3,israel,2009
2,india,2009
6,israel,2009
22,israel,2009
24,israel,2009
3,israel,2009
0,uk,2009
4,uk,2009
5,israel,2009
31,israel,2009
3,china,2009
30,israel,2009
4,US,2009
4,un,2009
5,israel,2009
55,US,2009
113,israel,2009
5,US,2009
1,india,2009
1,israel,2009
0,israel,2009
0,US,2009
2,un,2009
0,israel,2009
0,egypt,2009
0,US,2009
40,un,2009
1,uk,2009
32,israel,2009
3,un,2009
0,israel,2009
7,iraq,2009
0,US,2009
2,uk,2009
0,israel,2009
18,uk,2009
8,israel,2009
4,uk,2009
4,iraq,2009
0,US,2009
4,israel,2009
1,US,2009
3,US,2009
1,US,2009
1,uk,2009
0,china,2009
2,un,2009
1,israel,2009
4,US,2009
5,US,2009
0,israel,2009
4,israel,2009
1,US,2009
1,israel,2009
6,egypt,2009
2,uk,2009
4,egypt,2009
29,US,2009
234,US,2009
73,US,2009
53,israel,2009
0,uk,2009
0,US,2009
0,israel,2009
2,japan,2009
2,US,2009
0,israel,2009
2,un,2009
1,US,2009
5,un,2009
5,iraq,2009
28,israel,2009
0,israel,2009
0,un,2009
9,iraq,2009
2,US,2009
5,US,2009
0,un,2009
1,japan,2009
9,iraq,2009
75,israel,2009
4,iraq,2009
0,un,2009
0,israel,2009
167,iraq,2009
623,israel,2009
0,israel,2009
43,israel,2009
1,un,2009
0,US,2009
0,iraq,2009
0,israel,2009
0,israel,2009
2,US,2009
5,US,2009
5,israel,2009
14,iraq,2009
508,un,2009
6,india,2009
0,uk,2009
1,india,2009
3,US,2009
0,iraq,2009
137,israel,2009
2,israel,2009
0,uk,2009
0,iraq,2009
3,iraq,2009
15,US,2009
15,iraq,2009
6,china,2009
2,US,2009
0,israel,2009
1,israel,2009
3,US,2009
3,iraq,2009
7,israel,2009
40,israel,2009
26,israel,2009
0,iraq,2009
12,iraq,2009
5,israel,2009
0,uk,2009
529,israel,2009
2,US,2009
49,israel,2009
6,un,2009
17,israel,2009
0,israel,2009
0,japan,2009
0,US,2009
7,israel,2009
59,israel,2009
0,US,2009
3,israel,2009
0,iraq,2009
0,uk,2009
5,israel,2009
8,israel,2009
0,israel,2009
7,israel,2009
110,US,2009
110,uk,2009
6,china,2009
5,israel,2009
164,israel,2009
81,israel,2009
14,israel,2009
1,uk,2009
0,israel,2009
58,israel,2009
0,uk,2009
90,israel,2009
57,israel,2009
57,iraq,2009
0,israel,2009
10,israel,2009
1,US,2009
20,US,2009
20,israel,2009
7,china,2009
812,uk,2009
5,israel,2009
0,iraq,2009
145,japan,2009
5,uk,2009
5,israel,2009
1,japan,2009
5,US,2009
7,israel,2009
2,israel,2009
28,israel,2009
1,iraq,2009
0,israel,2009
0,uk,2009
69,iraq,2009
2,US,2009
3,iraq,2009
7,china,2009
1,uk,2009
13,israel,2009
1,china,2009
0,iraq,2009
1,US,2009
2,US,2009
2,un,2009
2,US,2009
0,un,2009
11,US,2009
11,iraq,2009
6,US,2009
0,US,2009
17,india,2009
7,US,2009
4,israel,2009
0,china,2009
0,israel,2009
1,india,2009
3,un,2009
3,egypt,2009
33,israel,2009
2,US,2009
0,israel,2009
2,iraq,2009
18,israel,2009
2,iraq,2009
3,US,2009
0,uk,2009
0,un,2009
0,US,2009
1,china,2009
1,israel,2009
1,un,2009
48,israel,2009
0,israel,2009
0,iraq,2009
0,egypt,2009
1,US,2009
223,israel,2009
6,israel,2009
6,un,2009
257,un,2009
49,US,2009
3,un,2009
0,uk,2009
7,china,2009
2,uk,2009
0,israel,2009
2,US,2009
0,china,2009
0,india,2009
0,US,2009
0,US,2009
2,iraq,2009
49,un,2009
0,US,2009
710,israel,2009
83,israel,2009
4,US,2009
13,US,2009
3,israel,2009
0,israel,2009
0,un,2009
1,china,2009
2,israel,2009
0,israel,2009
2,un,2009
69,israel,2009
2,US,2009
6,uk,2009
2,egypt,2009
6,israel,2009
2,US,2009
3,japan,2009
5,israel,2009
2,israel,2009
23,china,2009
23,india,2009
4,israel,2009
2,japan,2009
2,uk,2009
2,US,2009
0,israel,2009
96,un,2009
0,israel,2009
2,un,2009
0,egypt,2009
113,US,2009
3,china,2009
230,israel,2009
3,china,2009
0,iraq,2009
10,israel,2009
9,israel,2009
0,uk,2009
59,israel,2009
51,israel,2009
230,uk,2009
0,israel,2009
37,US,2009
7,uk,2009
12,israel,2009
0,israel,2009
35,US,2009
3,US,2009
3,china,2009
41,un,2009
0,US,2009
0,japan,2009
7,un,2009
6,china,2009
0,US,2009
168,US,2009
168,uk,2009
12,un,2009
0,ukraine,2009
2,india,2009
7,US,2009
703,uk,2009
0,US,2009
3,US,2009
0,israel,2009
0,iraq,2009
61,uk,2009
0,US,2009
1,US,2009
1,uk,2009
22,israel,2009
8,US,2009
13,israel,2009
6,japan,2009
40,US,2009
11,egypt,2009
282,US,2009
5,US,2009
116,US,2009
116,israel,2009
11,uk,2009
0,china,2009
10,US,2009
0,israel,2009
0,US,2009
11,india,2009
4,china,2009
12,uk,2009
6,US,2009
4,israel,2009
18,uk,2009
2,US,2009
10,israel,2009
7,israel,2009
2,iraq,2009
2,china,2009
6,china,2009
0,israel,2009
0,china,2009
0,china,2009
8,uk,2009
5,iraq,2009
3,israel,2009
3,US,2009
4,uk,2009
0,uk,2009
0,un,2009
0,israel,2009
1,india,2009
2,US,2009
1,india,2009
0,israel,2009
1,china,2009
0,china,2009
7,US,2009
2,china,2009
2,US,2009
2,uk,2009
0,israel,2009
0,israel,2009
0,israel,2009
4,china,2009
0,israel,2009
33,uk,2009
6,israel,2009
4,china,2009
6,china,2009
1,china,2009
5,israel,2009
2,israel,2009
2,israel,2009
3,china,2009
0,israel,2009
0,israel,2009
1,india,2009
18,india,2009
1,china,2009
1,US,2009
20,US,2009
0,US,2009
4,india,2009
58,israel,2009
2,india,2009
6,india,2009
9,israel,2009
48,US,2009
2,uk,2009
0,india,2009
2,US,2009
1,israel,2009
10,uk,2009
4,israel,2009
7,egypt,2009
49,uk,2009
0,US,2009
0,china,2009
0,un,2009
35,US,2009
4,iraq,2009
32,US,2009
0,china,2009
0,israel,2009
14,india,2009
3,US,2009
0,US,2009
4,US,2009
4,china,2009
8,india,2009
1,israel,2009
26,india,2009
35,uk,2009
0,israel,2009
138,US,2009
115,china,2009
11,uk,2009
3,israel,2009
5,uk,2009
0,uk,2009
0,iraq,2009
1,US,2009
0,US,2009
0,US,2009
2,india,2009
11,israel,2009
51,US,2009
2,uk,2009
0,un,2009
0,US,2009
109,US,2009
10,US,2009
7,US,2009
10,uk,2009
2,US,2009
0,israel,2009
0,israel,2009
10,US,2009
10,israel,2009
1,china,2009
8,israel,2009
4,israel,2009
0,india,2009
1,US,2009
2,US,2009
15,US,2009
15,israel,2009
34,US,2009
0,US,2009
1,US,2009
33,india,2009
0,india,2009
0,india,2009
0,uk,2009
0,china,2009
0,israel,2009
0,israel,2009
0,US,2009
0,china,2009
1,uk,2009
4,uk,2009
0,US,2009
0,uk,2009
0,uk,2009
2,US,2009
2,india,2009
8,US,2009
3,japan,2009
2,US,2009
0,iraq,2009
0,china,2009
15,uk,2009
8,israel,2009
3,japan,2009
1,israel,2009
4,US,2009
0,US,2009
315,israel,2009
1,US,2009
0,israel,2009
1,israel,2009
9,israel,2009
0,china,2009
0,japan,2009
213,israel,2009
4,uk,2009
0,israel,2009
3,US,2009
2,china,2009
0,india,2009
3,israel,2009
2,israel,2009
10,israel,2009
8,un,2009
3,US,2009
3,japan,2009
1,US,2009
146,israel,2009
6,un,2009
0,israel,2009
4,israel,2009
3,china,2009
1,ukraine,2009
7,US,2009
1,japan,2009
7,US,2009
293,uk,2009
0,israel,2009
18,uk,2009
0,china,2009
232,israel,2009
44,US,2009
0,uk,2009
0,israel,2009
3,india,2009
91,china,2009
0,US,2009
0,uk,2009
9,israel,2009
4,uk,2009
7,US,2009
5,US,2009
4,un,2009
495,china,2009
2,US,2009
1,US,2009
12,china,2009
5,US,2009
0,US,2009
0,japan,2009
0,US,2009
0,uk,2009
0,uk,2009
1,japan,2009
0,israel,2009
4,US,2009
11,US,2009
30,US,2009
19,US,2009
1,US,2009
1,israel,2009
1,egypt,2009
1,US,2009
0,US,2009
10,US,2009
1,india,2009
3,US,2009
2,un,2009
6,iraq,2009
11,israel,2009
10,US,2009
3,uk,2009
2,US,2009
3,US,2009
25,US,2009
25,un,2009
3,china,2009
8,US,2009
5,japan,2009
960,israel,2009
4,uk,2009
6,uk,2009
2,israel,2009
1,US,2009
1,japan,2009
5,iraq,2009
9,US,2009
4,US,2009
1,un,2009
1,US,2009
3,US,2009
49,US,2009
4,US,2009
204,india,2009
2,US,2009
10,israel,2009
5,US,2009
3,iraq,2009
0,US,2009
0,china,2009
128,US,2009
6,US,2009
15,israel,2009
7,US,2009
1,uk,2009
17,israel,2009
0,US,2009
0,china,2009
4,US,2009
0,israel,2009
31,US,2009
0,uk,2009
0,uk,2009
0,israel,2009
8,egypt,2009
3,israel,2009
3,iraq,2009
1,china,2009
8,US,2009
5,india,2009
1,india,2009
117,india,2009
0,israel,2009
23,china,2009
5,uk,2009
0,israel,2009
4,US,2009
4,iraq,2009
124,china,2009
2,US,2009
2,china,2009
5,US,2009
5,israel,2009
5,israel,2009
0,israel,2009
2,US,2009
1,iraq,2009
0,india,2009
1,uk,2009
1,US,2009
3,US,2009
3,iraq,2009
0,china,2009
3,US,2009
0,israel,2009
813,uk,2009
14,US,2009
26,US,2009
43,uk,2009
1,china,2009
0,US,2009
3,US,2009
2,US,2009
4,US,2009
4,israel,2009
7,US,2009
24,israel,2009
8,iraq,2009
1,india,2009
2,US,2009
2,iraq,2009
11,US,2009
17,US,2009
1,iraq,2009
1,US,2009
39,US,2009
1,US,2009
4,US,2009
17,uk,2009
17,iraq,2009
30,uk,2009
30,iraq,2009
0,china,2009
1,US,2009
0,israel,2009
2,israel,2009
7,iraq,2009
7,israel,2009
7,uk,2009
8,israel,2009
22,uk,2009
13,US,2009
0,US,2009
5,israel,2009
3,uk,2009
2,uk,2009
135,US,2009
1,china,2009
5,uk,2009
4,uk,2009
4,iraq,2009
0,china,2009
3,un,2009
4,US,2009
2,US,2009
2,uk,2009
1,uk,2009
8,US,2009
8,china,2009
0,US,2009
0,china,2009
8,japan,2009
0,iraq,2009
169,india,2009
0,un,2009
1,uk,2009
8,US,2009
8,uk,2009
4,uk,2009
20,iraq,2009
3,un,2009
21,US,2009
51,US,2009
3,iraq,2009
1,US,2009
4,israel,2009
5,US,2009
5,uk,2009
1,iraq,2009
23,uk,2009
1,iraq,2009
51,india,2009
371,israel,2009
18,uk,2009
6,uk,2009
23,iraq,2009
0,israel,2009
0,un,2009
3,uk,2009
5,US,2009
5,china,2009
4,US,2009
14,US,2009
7,US,2009
0,US,2009
0,un,2009
2,US,2009
2,china,2009
388,israel,2009
0,US,2009
0,iraq,2009
12,US,2009
3,israel,2009
0,US,2009
4,US,2009
128,US,2009
128,israel,2009
21,US,2009
0,uk,2009
0,US,2009
3,israel,2009
10,uk,2009
847,israel,2009
847,un,2009
1,US,2009
4,china,2009
2,US,2009
2,un,2009
244,israel,2009
10,india,2009
4,india,2009
37,uk,2009
5,israel,2009
0,US,2009
0,india,2009
0,israel,2009
417,uk,2009
14,US,2009
7,US,2009
0,india,2009
0,US,2009
18,US,2009
0,US,2009
0,china,2009
4,US,2009
3,US,2009
4,iraq,2009
194,israel,2009
0,US,2009
0,china,2009
187,israel,2009
0,US,2009
2,israel,2009
0,japan,2009
0,iraq,2009
0,iraq,2009
38,US,2009
38,israel,2009
102,uk,2009
102,iraq,2009
0,china,2009
0,japan,2009
1,uk,2009
122,israel,2009
2,india,2009
16,china,2009
6,egypt,2009
1,iraq,2009
0,uk,2009
1,US,2009
1,egypt,2009
20,israel,2009
3,US,2009
2,US,2009
0,japan,2009
0,US,2009
0,india,2009
1,japan,2009
3,japan,2009
3,un,2009
0,US,2009
23,israel,2009
27,israel,2009
3,US,2009
9,japan,2009
90,US,2009
90,israel,2009
0,US,2009
1,iraq,2009
1,US,2009
11,un,2009
15,israel,2009
8,US,2009
2,US,2009
2,china,2009
2,US,2009
2,iraq,2009
1,US,2009
2,ukraine,2009
2,US,2009
6,US,2009
3,ukraine,2009
7,israel,2009
8,US,2009
0,israel,2009
1,US,2009
12,US,2009
0,iraq,2009
0,US,2009
0,china,2009
1,china,2009
0,iraq,2009
0,US,2009
0,china,2009
10,ukraine,2009
4,un,2009
0,US,2009
90,israel,2009
118,US,2009
0,uk,2009
8,un,2009
7,uk,2009
39,israel,2009
1,US,2009
0,uk,2009
88,israel,2009
5,uk,2009
25,US,2009
25,iraq,2009
0,un,2009
0,india,2009
0,uk,2009
1,US,2009
0,china,2009
3,china,2009
1,US,2009
22,US,2009
10,uk,2009
5,US,2009
84,US,2009
2,china,2009
0,US,2009
16,US,2009
16,china,2009
6,US,2009
18,israel,2009
2,un,2009
1,japan,2009
5,US,2009
0,US,2009
0,iraq,2009
3,US,2009
1,un,2009
30,israel,2009
6,iraq,2009
67,US,2009
67,iraq,2009
2,iraq,2009
4,uk,2009
29,un,2009
0,iraq,2009
57,US,2009
57,israel,2009
64,uk,2009
0,india,2009
3,US,2009
3,US,2009
4,US,2009
50,egypt,2009
0,US,2009
0,japan,2009
10,israel,2009
3,uk,2009
9,china,2009
7,uk,2009
4,china,2009
13,china,2009
0,china,2009
8,israel,2009
10,US,2009
10,japan,2009
16,US,2009
0,iraq,2009
12,US,2009
12,china,2009
56,israel,2009
16,uk,2009
1,uk,2009
8,US,2009
0,US,2009
0,china,2009
0,US,2009
16,US,2009
12,uk,2009
2,japan,2009
24,china,2009
0,US,2009
0,china,2009
1,US,2009
1,US,2009
0,iraq,2009
6,iraq,2009
0,US,2009
1,US,2009
1,china,2009
0,iraq,2009
22,US,2009
22,iraq,2009
0,egypt,2009
7,US,2009
0,US,2009
0,iraq,2009
2,iraq,2009
56,india,2009
6,iraq,2009
3,US,2009
2,china,2009
2,china,2009
2,US,2009
2,US,2009
2,israel,2009
1,iraq,2009
4,US,2009
3,US,2009
0,US,2009
114,US,2009
0,US,2009
0,israel,2009
7,uk,2009
16,uk,2009
1,US,2009
0,uk,2009
30,iraq,2009
0,israel,2009
4,israel,2009
12,china,2009
67,china,2009
2,uk,2009
1,uk,2009
0,un,2009
2,un,2009
4,iraq,2009
1,US,2009
1,un,2009
5,israel,2009
1,US,2009
5,US,2009
4,india,2009
5,china,2009
14,US,2009
0,china,2009
4,china,2009
8,japan,2009
4,US,2009
0,japan,2009
0,US,2009
28,US,2009
28,china,2009
3,US,2009
3,china,2009
3,US,2009
3,china,2009
6,US,2009
6,israel,2009
8,uk,2009
8,iraq,2009
591,israel,2009
22,iraq,2009
3,US,2009
3,china,2009
5,US,2009
3,iraq,2009
3,US,2009
19,US,2009
19,china,2009
189,US,2009
2,india,2009
4,japan,2009
24,US,2009
2,israel,2009
2,un,2009
12,uk,2009
3,china,2009
3,india,2009
9,US,2009
0,china,2009
3,japan,2009
36,israel,2009
0,israel,2009
0,US,2009
0,iraq,2009
2,US,2009
4,US,2009
20,iraq,2009
1,israel,2009
4,US,2009
0,US,2009
3,japan,2009
0,china,2009
1,india,2009
5,israel,2009
12,israel,2009
0,un,2009
3,US,2009
201,india,2009
0,israel,2009
52,israel,2009
52,uk,2009
3,china,2009
5,japan,2009
8,israel,2009
1,israel,2009
39,iraq,2009
0,US,2009
42,india,2009
0,US,2009
0,china,2009
5,israel,2009
7,US,2009
7,israel,2009
4,un,2009
5,US,2009
9,uk,2009
9,US,2009
9,israel,2009
186,US,2009
649,uk,2009
8,china,2009
2,uk,2009
4,china,2009
0,iraq,2009
1,uk,2009
2,US,2009
23,israel,2009
2,china,2009
14,US,2009
0,US,2009
1,US,2009
2,US,2009
6,US,2009
118,china,2009
0,US,2009
0,china,2009
2,china,2009
9,US,2009
21,israel,2009
18,israel,2009
0,US,2009
19,uk,2009
3,US,2009
3,israel,2009
0,US,2009
1,india,2009
2,US,2009
1,US,2009
21,israel,2009
1,uk,2009
1,uk,2009
2,US,2009
2,china,2009
1,US,2009
5,india,2009
6,US,2009
6,iraq,2009
9,israel,2009
1,US,2009
1,US,2009
2,US,2009
4,US,2009
1,india,2009
2,US,2009
13,un,2009
4,US,2009
35,israel,2009
1,china,2009
7,israel,2009
8,US,2009
8,china,2009
23,un,2009
0,japan,2009
4,US,2009
7,US,2009
5,US,2009
2,US,2009
0,US,2009
20,israel,2009
6,US,2009
5,china,2009
66,israel,2009
17,US,2009
0,israel,2009
270,israel,2009
43,india,2009
0,india,2009
4,US,2009
6,israel,2009
2,india,2009
6,israel,2009
1,uk,2009
3,israel,2009
3,uk,2009
3,US,2009
3,israel,2009
21,israel,2009
6,US,2009
2,un,2009
33,un,2009
1,israel,2009
6,china,2009
1,india,2009
70,israel,2009
1,china,2009
28,israel,2009
39,china,2009
109,uk,2009
0,china,2009
0,india,2009
0,israel,2009
2,china,2009
1,US,2009
3,israel,2009
3,un,2009
17,uk,2009
3,china,2009
0,israel,2009
0,un,2009
1,china,2009
0,US,2009
12,US,2009
0,US,2009
0,china,2009
0,china,2009
28,US,2009
4,israel,2009
6,china,2009
1,india,2009
10,un,2009
0,china,2009
6,uk,2009
0,US,2009
0,china,2009
0,US,2009
0,china,2009
14,US,2009
14,china,2009
1,israel,2009
11,china,2009
7,china,2009
7,US,2009
2,israel,2009
4,egypt,2009
1,US,2009
14,china,2009
16,china,2009
0,un,2009
3,china,2009
2,china,2009
1,US,2009
1,japan,2009
366,china,2009
1,iraq,2009
4,china,2009
0,US,2009
0,US,2009
6,israel,2009
4,uk,2009
10,US,2009
6,japan,2009
22,china,2009
7,japan,2009
4,US,2009
8,uk,2009
4,israel,2009
0,uk,2009
2,iraq,2009
2,US,2009
1,uk,2009
3,israel,2009
5,china,2009
5,US,2009
15,israel,2009
15,japan,2009
0,uk,2009
4,israel,2009
3,un,2009
2,US,2009
2,china,2009
2,US,2009
2,china,2009
4,israel,2009
0,israel,2009
9,china,2009
14,israel,2009
4,US,2009
0,US,2009
10,china,2009
1,israel,2009
0,US,2009
18,US,2009
3,israel,2009
2,un,2009
3,uk,2009
5,india,2009
2,US,2009
9,israel,2009
1,uk,2009
5,japan,2009
2,US,2009
5,israel,2009
3,japan,2009
7,israel,2009
4,china,2009
9,US,2009
9,japan,2009
2,japan,2009
2,japan,2009
8,US,2009
3,china,2009
2,un,2009
4,israel,2009
1,china,2009
1,israel,2009
0,US,2009
0,china,2009
2,japan,2009
0,japan,2009
12,un,2009
47,israel,2009
11,china,2009
12,uk,2009
2,egypt,2009
0,US,2009
6,US,2009
1,US,2009
4,china,2009
18,israel,2009
0,china,2009
1,india,2009
0,US,2009
0,uk,2009
290,uk,2009
0,US,2009
7,israel,2009
12,china,2009
1,japan,2009
2,un,2009
8,israel,2009
7,uk,2009
1,china,2009
3,china,2009
7,US,2009
1,japan,2009
0,india,2009
7,uk,2009
0,japan,2009
6,israel,2009
4,israel,2009
4,india,2009
3,US,2009
7,US,2009
0,japan,2009
12,india,2009
31,israel,2009
0,US,2009
3,US,2009
5,iraq,2009
0,US,2009
0,US,2009
0,iraq,2009
6,japan,2009
0,india,2009
3,US,2009
1,US,2009
2,US,2009
3,israel,2009
32,US,2009
32,israel,2009
0,china,2009
1,US,2009
1,un,2009
2,iraq,2009
4,US,2009
0,US,2009
3,india,2009
4,israel,2009
5,US,2009
2,US,2009
0,iraq,2009
0,US,2009
2,US,2009
0,US,2009
0,US,2009
26,israel,2009
0,US,2009
32,japan,2009
1,US,2009
5,US,2009
5,israel,2009
13,israel,2009
9,US,2009
9,israel,2009
0,US,2009
14,US,2009
4,US,2009
7,israel,2009
1,china,2009
1,china,2009
0,israel,2009
0,US,2009
4,egypt,2009
2,egypt,2009
0,US,2009
0,china,2009
0,un,2009
1,israel,2009
0,US,2009
0,un,2009
0,japan,2009
6,israel,2009
4,israel,2009
3,US,2009
3,israel,2009
7,israel,2009
3,israel,2009
3,US,2009
5,china,2009
12,israel,2009
113,israel,2009
113,egypt,2009
2,US,2009
2,israel,2009
2,US,2009
2,iraq,2009
5,iraq,2009
2,US,2009
0,india,2009
16,un,2009
26,israel,2009
2,israel,2009
0,US,2009
3,un,2009
0,US,2009
2,israel,2009
0,un,2009
5,US,2009
26,israel,2009
18,US,2009
14,china,2009
7,israel,2009
0,iraq,2009
4,china,2009
3,US,2009
0,US,2009
0,india,2009
0,japan,2009
0,israel,2009
39,US,2009
0,china,2009
0,china,2009
10,iraq,2009
0,iraq,2009
0,un,2009
2,iraq,2009
89,US,2009
6,uk,2009
2,china,2009
1,israel,2009
4,iraq,2009
0,uk,2009
0,iraq,2009
0,US,2009
7,china,2009
2,US,2009
0,israel,2009
3,US,2009
1,US,2009
3,israel,2009
3,japan,2009
29,israel,2009
0,US,2009
4,US,2009
4,israel,2009
0,US,2009
77,israel,2009
0,india,2009
3,uk,2009
2,india,2009
0,US,2009
0,uk,2009
1,uk,2009
9,india,2009
0,india,2009
0,US,2009
0,iraq,2009
0,iraq,2009
5,US,2009
5,israel,2009
9,japan,2009
8,US,2009
0,US,2009
0,israel,2009
1,US,2009
0,US,2009
0,china,2009
5,US,2009
0,US,2009
10,US,2009
0,US,2009
4,US,2009
0,US,2009
861,US,2009
3,US,2009
1,US,2009
7,US,2009
0,US,2009
0,US,2009
1,israel,2009
15,japan,2009
0,US,2009
0,US,2009
0,US,2009
0,US,2009
17,uk,2009
2,china,2009
4,US,2009
0,US,2009
1,US,2009
7,un,2009
23,uk,2009
12,uk,2009
1,uk,2009
1,US,2009
4,uk,2009
11,un,2009
0,israel,2009
15,US,2009
0,US,2009
3,israel,2009
0,US,2009
0,india,2009
72,uk,2009
1,israel,2009
18,US,2009
18,iraq,2009
2,US,2009
2,US,2009
0,US,2009
59,uk,2009
0,US,2009
6,US,2009
17,US,2009
5,US,2009
3,china,2009
0,india,2009
19,US,2009
8,US,2009
0,US,2009
2,china,2009
2,iraq,2009
12,israel,2009
0,US,2009
0,US,2009
0,china,2009
3,iraq,2009
0,egypt,2009
7,uk,2009
0,uk,2009
0,US,2009
20,US,2009
20,iraq,2009
0,US,2009
6,US,2009
0,iraq,2009
1,US,2009
3,US,2009
15,US,2009
0,US,2009
3,US,2009
2,US,2009
0,uk,2009
7,US,2009
0,un,2009
20,US,2009
15,china,2009
0,israel,2009
0,US,2009
8,US,2009
5,US,2009
5,china,2009
5,india,2009
5,japan,2009
0,israel,2009
29,US,2009
6,US,2009
5,US,2009
2,US,2009
0,japan,2009
3,un,2009
8,uk,2009
44,egypt,2009
6,US,2009
23,uk,2009
168,un,2009
18,israel,2009
7,US,2009
26,china,2009
35,israel,2009
3,china,2009
102,un,2009
0,israel,2009
0,US,2009
0,un,2009
28,israel,2009
0,un,2009
50,uk,2009
0,US,2009
0,china,2009
0,US,2009
7,uk,2009
0,US,2009
3,US,2009
13,US,2009
79,israel,2009
241,US,2009
98,israel,2009
98,un,2009
0,US,2009
4,israel,2009
4,un,2009
7,US,2009
7,israel,2009
8,iraq,2009
10,israel,2009
4,israel,2009
16,uk,2009
2,china,2009
2,india,2009
5,india,2009
0,china,2009
2,uk,2009
3,india,2009
0,US,2009
0,israel,2009
0,egypt,2009
5,israel,2009
6,un,2009
5,india,2009
2,un,2009
2,uk,2009
0,US,2009
4,japan,2009
22,india,2009
5,US,2009
7,iraq,2009
4,US,2009
0,iraq,2009
9,US,2009
2,uk,2009
23,US,2009
2,US,2009
0,US,2009
2,US,2009
7,iraq,2009
0,israel,2009
0,US,2009
9,US,2009
8,US,2009
0,US,2009
14,israel,2009
0,israel,2009
0,israel,2009
2,US,2009
23,israel,2009
30,US,2009
30,un,2009
77,US,2009
77,israel,2009
77,un,2009
0,uk,2009
3,US,2009
5,israel,2009
0,US,2009
18,US,2009
1,israel,2009
0,israel,2009
0,israel,2009
0,israel,2009
18,israel,2009
0,iraq,2009
0,uk,2009
0,US,2009
3,un,2009
352,israel,2009
0,un,2009
0,un,2009
1,uk,2009
19,israel,2009
184,israel,2009
184,un,2009
0,US,2009
0,japan,2009
6,israel,2009
0,US,2009
0,un,2009
320,israel,2009
0,egypt,2009
0,US,2009
13,china,2009
8,china,2009
1,china,2009
0,un,2009
0,china,2009
0,US,2009
0,israel,2009
0,US,2009
6,israel,2009
6,un,2009
0,US,2009
0,israel,2009
0,israel,2009
2,israel,2009
1,un,2009
182,china,2009
0,israel,2009
1,israel,2009
1,egypt,2009
5,uk,2009
25,china,2009
3,un,2009
12,US,2009
0,india,2009
29,uk,2009
1,US,2009
11,US,2009
668,israel,2009
0,un,2009
4,israel,2009
0,israel,2009
133,un,2009
164,US,2009
0,india,2009
62,un,2009
3,uk,2009
0,israel,2009
1,japan,2009
5,japan,2009
1,US,2009
3,un,2009
8,US,2009
8,israel,2009
0,china,2009
0,un,2009
0,india,2009
2,US,2009
4,china,2009
4,israel,2009
4,US,2009
8,japan,2009
0,iraq,2009
1,US,2009
1,iraq,2009
3,uk,2009
0,japan,2009
7,israel,2009
132,israel,2009
13,iraq,2009
12,israel,2009
3,iraq,2009
0,US,2009
0,china,2009
1,israel,2009
6,iraq,2009
2,iraq,2009
3,un,2009
0,iraq,2009
5,US,2009
7,un,2009
0,US,2009
42,israel,2009
5,US,2009
3,US,2009
0,uk,2009
0,US,2009
28,un,2009
